sech;time;P;kod;a;b;c;d
10;25;3594;-9999;1;1;0;ok
10;26;3611;-9999;1;1;0;ok
10;27;3620;-9999;1;1;0;ok
10;28;3622;-9999;1;1;0;ok
10;29;3619;-9999;1;1;0;ok
10;30;3631;-9999;1;1;0;ok
10;31;3614;-9999;1;1;0;ok
10;32;3594;-9999;1;1;0;ok
10;33;3513;-9999;1;1;0;ok
10;34;3480;-9999;1;1;0;ok
10;35;3454;-9999;1;1;0;ok
10;36;3458;-9999;1;1;0;ok
10;37;3470;-9999;1;1;0;ok
10;38;3468;-9999;1;1;0;ok
10;39;3479;-9999;1;1;0;ok
10;40;3480;-9999;1;1;0;ok
10;41;3485;-9999;1;1;0;ok
10;42;3486;-9999;1;1;0;ok
10;43;3449;-9999;1;1;0;ok
10;44;3388;-9999;1;1;0;ok
10;45;3387;-9999;1;1;0;ok
10;46;3438;-9999;1;1;0;ok
10;47;3508;-9999;1;1;0;ok
10;48;3000;-9999;1;1;0;ok
19;25;3594;-9999;1;1;0;ok
19;26;3611;-9999;1;1;0;ok
19;27;3620;-9999;1;1;0;ok
19;28;3622;-9999;1;1;0;ok
19;29;3619;-9999;1;1;0;ok
19;30;3631;-9999;1;1;0;ok
19;31;3614;-9999;1;1;0;ok
19;32;3594;-9999;1;1;0;ok
19;33;3513;-9999;1;1;0;ok
19;34;3480;-9999;1;1;0;ok
19;35;3454;-9999;1;1;0;ok
19;36;3458;-9999;1;1;0;ok
19;37;3470;-9999;1;1;0;ok
19;38;3468;-9999;1;1;0;ok
19;39;3479;-9999;1;1;0;ok
19;40;3480;-9999;1;1;0;ok
19;41;3485;-9999;1;1;0;ок
19;42;3486;-9999;1;1;0;ok
19;43;3449;-9999;1;1;0;ok
19;44;3388;-9999;1;1;0;ok
19;45;3387;-9999;1;1;0;ok
19;46;3438;-9999;1;1;0;ok
19;47;3508;-9999;1;1;0;ok
